字段1,字段1_link,字段2,字段3,字段4,字段5
Customer Service and Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience
Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Graduates with Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
On-site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
PA / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=9b064458-1b9a-4f9d-b1a4-00293029d495,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration
Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$
Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control
Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate
Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$
Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$
Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=70a47d8e-ab7d-4bd5-a85e-f90dcf5b297f,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
"Resource Coordinator - Construction (plant, material, supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$
Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Sales Administrator and Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Customer Service and Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience
Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Graduates with Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
On-site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
PA / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=921d6bbe-8a99-4150-9394-fbb514c2eae8,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
